Questions,Answers,Grades,Concatenated_QA,Sentence_Length,Padded_Sentence,Sentence_Length_After_Padding
Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.,"In simple the distance between 2 sets is calculated and the minimum distance is used. In complete linkage, after calculating distance the maximum distance is selected.",10.0,"Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-In simple the distance between 2 sets is calculated and the minimum distance is used. In complete linkage, after calculating distance the maximum distance is selected.",39,"Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-In simple the distance between 2 sets is calculated and the minimum distance is used. In complete linkage, after calculating distance the maximum distance is selected. Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.,In simple linkage the minimum distance is considered for distance matrix and for Complete linkage maximum distance is considered. ,10.0,Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-In simple linkage the minimum distance is considered for distance matrix and for Complete linkage maximum distance is considered. ,33,Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-In simple linkage the minimum distance is considered for distance matrix and for Complete linkage maximum distance is considered.  Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.,in complete linkage the maximum distance between the two set swill be taken. in simple  minimum distance will be taken,10.0,Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-in complete linkage the maximum distance between the two set swill be taken. in simple  minimum distance will be taken,34,Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-in complete linkage the maximum distance between the two set swill be taken. in simple  minimum distance will be taken Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.,Dont know,0.0,Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-Dont know,15,Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-Dont know Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.,In simple linkage we take min distance between points from 2 clusters. In complete linkage we take max distance between points from two clusters.,10.0,Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-In simple linkage we take min distance between points from 2 clusters. In complete linkage we take max distance between points from two clusters.,37,Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-In simple linkage we take min distance between points from 2 clusters. In complete linkage we take max distance between points from two clusters. Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.,no,0.0,Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-no,14,Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-no Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.,"Simple Linkage Proximity measure use minimum distance between the points where as complete linkage proximity measures deals with maximum distance between the attributes of values. Based upon minimum distance, groups are formed under Single linkage. Based upon maximum distance of points, groups are linked.",10.0,"Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-Simple Linkage Proximity measure use minimum distance between the points where as complete linkage proximity measures deals with maximum distance between the attributes of values. Based upon minimum distance, groups are formed under Single linkage. Based upon maximum distance of points, groups are linked.",57,"Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-Simple Linkage Proximity measure use minimum distance between the points where as complete linkage proximity measures deals with maximum distance between the attributes of values. Based upon minimum distance, groups are formed under Single linkage. Based upon maximum distance of points, groups are linked. Null Null Null Null",61
Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.,In simple proximity measures,0.0,Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-In simple proximity measures,17,Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-In simple proximity measures Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.,Single Linkage considers minimum of the values when the cluster pairs are grouped.Complete Linkage uses maximum of the distance between the cluster pairs while grouping.,10.0,Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-Single Linkage considers minimum of the values when the cluster pairs are grouped.Complete Linkage uses maximum of the distance between the cluster pairs while grouping.,38,Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-Single Linkage considers minimum of the values when the cluster pairs are grouped.Complete Linkage uses maximum of the distance between the cluster pairs while grouping. Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.,"In simple linkage, the proximity between 2 sets in based on the minimum of the pairwise distance measure between the members of the 2 sets. In complete linkage, it is based on the maximum of pairwise distance measure.",10.0,"Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-In simple linkage, the proximity between 2 sets in based on the minimum of the pairwise distance measure between the members of the 2 sets. In complete linkage, it is based on the maximum of pairwise distance measure.",51,"Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-In simple linkage, the proximity between 2 sets in based on the minimum of the pairwise distance measure between the members of the 2 sets. In complete linkage, it is based on the maximum of pairwise distance measure. Null Null Null Null Null Null Null Null Null Null",61
Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.,"Simple linkage - find the minimum distance that becomes the distance between set A and set B, Complete linkage - find the maximum distance that becomes the distance between set A and set B",10.0,"Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-Simple linkage - find the minimum distance that becomes the distance between set A and set B, Complete linkage - find the maximum distance that becomes the distance between set A and set B",47,"Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-Simple linkage - find the minimum distance that becomes the distance between set A and set B, Complete linkage - find the maximum distance that becomes the distance between set A and set B Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.,Single Linkage is a method that focused on minimum distances or nearest neighbor between clusters meanwhile Complete Linkage concentrates on maximum distance or furthest neighbor between clusters.,10.0,Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-Single Linkage is a method that focused on minimum distances or nearest neighbor between clusters meanwhile Complete Linkage concentrates on maximum distance or furthest neighbor between clusters.,40,Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-Single Linkage is a method that focused on minimum distances or nearest neighbor between clusters meanwhile Complete Linkage concentrates on maximum distance or furthest neighbor between clusters. Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.,"Single Linkage proximity - measures similarity in most similar pair, wherein complete linkage measures between distant elements",5.0,"Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-Single Linkage proximity - measures similarity in most similar pair, wherein complete linkage measures between distant elements",30,"Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-Single Linkage proximity - measures similarity in most similar pair, wherein complete linkage measures between distant elements Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.,"complete linkage  is dist. between farthest pair of observations,   Simple linkage is focussed on minimum.",10.0,"Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-complete linkage  is dist. between farthest pair of observations,   Simple linkage is focussed on minimum.",31,"Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-complete linkage  is dist. between farthest pair of observations,   Simple linkage is focussed on minimum. Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.,simple linkage search for nearest neighbour and complete search for maximum distance,10.0,Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-simple linkage search for nearest neighbour and complete search for maximum distance,25,Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-simple linkage search for nearest neighbour and complete search for maximum distance Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.,"1)Hierarchical clustering, we merge in each step the two clusters whose merger has the smallest diameter, 2) Hierarchical clustering, we merge in each step the two clusters whose two closest members have the smallest distance. ",2.5,"Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-1)Hierarchical clustering, we merge in each step the two clusters whose merger has the smallest diameter, 2) Hierarchical clustering, we merge in each step the two clusters whose two closest members have the smallest distance. ",49,"Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-1)Hierarchical clustering, we merge in each step the two clusters whose merger has the smallest diameter, 2) Hierarchical clustering, we merge in each step the two clusters whose two closest members have the smallest distance.  Null Null Null Null Null Null Null Null Null Null Null Null",61
Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.,"Complete linkage distance is measured between the farthest pair of observations in two clusters, and Simple is the distance between two clusters that is the minimum distance between members of the two clusters.",10.0,"Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-Complete linkage distance is measured between the farthest pair of observations in two clusters, and Simple is the distance between two clusters that is the minimum distance between members of the two clusters.",46,"Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-Complete linkage distance is measured between the farthest pair of observations in two clusters, and Simple is the distance between two clusters that is the minimum distance between members of the two clusters. Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.,Complete linkage distance is measured between farthest pair of observations in two clusters. Simple linkage is the distance between two clusters having minimum distance between them.,10.0,Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-Complete linkage distance is measured between farthest pair of observations in two clusters. Simple linkage is the distance between two clusters having minimum distance between them.,39,Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-Complete linkage distance is measured between farthest pair of observations in two clusters. Simple linkage is the distance between two clusters having minimum distance between them. Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.,Simple linkage calculates minimum distance between two points and Complete linkage calculates maximum distance between two given points .,7.5,Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-Simple linkage calculates minimum distance between two points and Complete linkage calculates maximum distance between two given points .,32,Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-Simple linkage calculates minimum distance between two points and Complete linkage calculates maximum distance between two given points . Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.,complete linkage is measured as the maximum distance or fathest points of 2 sets become distance of clusters.  whereas single is minimum distance between sets of clusters become distance of clusters,10.0,Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-complete linkage is measured as the maximum distance or fathest points of 2 sets become distance of clusters.  whereas single is minimum distance between sets of clusters become distance of clusters,45,Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-complete linkage is measured as the maximum distance or fathest points of 2 sets become distance of clusters.  whereas single is minimum distance between sets of clusters become distance of clusters Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.,Simple linkage proximity measure has minimum distance in their between two members while complete linkage has maximum distance.,10.0,Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-Simple linkage proximity measure has minimum distance in their between two members while complete linkage has maximum distance.,31,Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-Simple linkage proximity measure has minimum distance in their between two members while complete linkage has maximum distance. Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.,"Simple linkage is the smallest distance between an element in one cluster and an element in the other whereas COMPLETE LINKAGE is the largest distance between an element in one cluster and an element in the other,",10.0,"Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-Simple linkage is the smallest distance between an element in one cluster and an element in the other whereas COMPLETE LINKAGE is the largest distance between an element in one cluster and an element in the other,",50,"Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-Simple linkage is the smallest distance between an element in one cluster and an element in the other whereas COMPLETE LINKAGE is the largest distance between an element in one cluster and an element in the other, Null Null Null Null Null Null Null Null Null Null Null",61
Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.,"complete linkage distance tends to create compact clusters of clusters, while single linkage tends to add one point at a time to the cluster, creating long stringy clusters.",10.0,"Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-complete linkage distance tends to create compact clusters of clusters, while single linkage tends to add one point at a time to the cluster, creating long stringy clusters.",41,"Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-complete linkage distance tends to create compact clusters of clusters, while single linkage tends to add one point at a time to the cluster, creating long stringy clusters. Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.,simple linkage is a proximity measure that calculates the distance between two clusters by finding the minimum distance between any two clusters. Complete linkage is a proximity measure that calculates the distance between two clusters by finding the maximum distance between any two points in the two clusters.,10.0,Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-simple linkage is a proximity measure that calculates the distance between two clusters by finding the minimum distance between any two clusters. Complete linkage is a proximity measure that calculates the distance between two clusters by finding the maximum distance between any two points in the two clusters.,61,Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-simple linkage is a proximity measure that calculates the distance between two clusters by finding the minimum distance between any two clusters. Complete linkage is a proximity measure that calculates the distance between two clusters by finding the maximum distance between any two points in the two clusters.,61
Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.,Single Linkage: Proximaty measure that calculates the minimum distance between an element from one cluster point to the element in the the other cluster.  Complete Linkage: Maximum Distance between an element from one cluster point to the element in the the other cluster.,10.0,Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-Single Linkage: Proximaty measure that calculates the minimum distance between an element from one cluster point to the element in the the other cluster.  Complete Linkage: Maximum Distance between an element from one cluster point to the element in the the other cluster.,57,Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-Single Linkage: Proximaty measure that calculates the minimum distance between an element from one cluster point to the element in the the other cluster.  Complete Linkage: Maximum Distance between an element from one cluster point to the element in the the other cluster. Null Null Null Null,61
Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.,"simple linkage:similarity of most similar pair in a cluster, complete linkage:considers distance between the most distant elements of each cluster.",7.5,"Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-simple linkage:similarity of most similar pair in a cluster, complete linkage:considers distance between the most distant elements of each cluster.",33,"Differentiate between simple and complete linkage proximity measures. Use one or 2 sentences only.-simple linkage:similarity of most similar pair in a cluster, complete linkage:considers distance between the most distant elements of each cluster. Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Explain the scenario of overfitting in k-NN classifier.,overfitting,0.0,Explain the scenario of overfitting in k-NN classifier.-overfitting,8,Explain the scenario of overfitting in k-NN classifier.-overfitting Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Explain the scenario of overfitting in k-NN classifier.,Performs well on training data but poor performance for training data,0.0,Explain the scenario of overfitting in k-NN classifier.-Performs well on training data but poor performance for training data,18,Explain the scenario of overfitting in k-NN classifier.-Performs well on training data but poor performance for training data Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Explain the scenario of overfitting in k-NN classifier.,"When the value of k is small its overfitting, because its  too much specific of the neighbor, that it wont misinterpret unseen data",10.0,"Explain the scenario of overfitting in k-NN classifier.-When the value of k is small its overfitting, because its  too much specific of the neighbor, that it wont misinterpret unseen data",31,"Explain the scenario of overfitting in k-NN classifier.-When the value of k is small its overfitting, because its  too much specific of the neighbor, that it wont misinterpret unseen data Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Explain the scenario of overfitting in k-NN classifier.,"if k=1,test pattern consider only immediate neighbor and based on that class is decided.",10.0,"Explain the scenario of overfitting in k-NN classifier.-if k=1,test pattern consider only immediate neighbor and based on that class is decided.",21,"Explain the scenario of overfitting in k-NN classifier.-if k=1,test pattern consider only immediate neighbor and based on that class is decided. Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Explain the scenario of overfitting in k-NN classifier.,Overfitting will happen in KNN classifier if the K value taken is small. Since it gets confined to a small space of specific points.,10.0,Explain the scenario of overfitting in k-NN classifier.-Overfitting will happen in KNN classifier if the K value taken is small. Since it gets confined to a small space of specific points.,31,Explain the scenario of overfitting in k-NN classifier.-Overfitting will happen in KNN classifier if the K value taken is small. Since it gets confined to a small space of specific points. Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Explain the scenario of overfitting in k-NN classifier.,if  k that we have chosen is very small in knn classification then it will be over fitted,10.0,Explain the scenario of overfitting in k-NN classifier.-if  k that we have chosen is very small in knn classification then it will be over fitted,26,Explain the scenario of overfitting in k-NN classifier.-if  k that we have chosen is very small in knn classification then it will be over fitted Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Explain the scenario of overfitting in k-NN classifier.,KNN classifier has overfitting when the k value given is smaller and the system would have poor performance,10.0,Explain the scenario of overfitting in k-NN classifier.-KNN classifier has overfitting when the k value given is smaller and the system would have poor performance,25,Explain the scenario of overfitting in k-NN classifier.-KNN classifier has overfitting when the k value given is smaller and the system would have poor performance Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Explain the scenario of overfitting in k-NN classifier.,"When k is low (eg,k=1), it leads to overfitting in kNN.",10.0,"Explain the scenario of overfitting in k-NN classifier.-When k is low (eg,k=1), it leads to overfitting in kNN.",18,"Explain the scenario of overfitting in k-NN classifier.-When k is low (eg,k=1), it leads to overfitting in kNN. Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Explain the scenario of overfitting in k-NN classifier.,when k value is 1 if all data can be classified,10.0,Explain the scenario of overfitting in k-NN classifier.-when k value is 1 if all data can be classified,18,Explain the scenario of overfitting in k-NN classifier.-when k value is 1 if all data can be classified Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Explain the scenario of overfitting in k-NN classifier.,"Overfitting in kNN occurs when the value of hyper-parameter (k) is small. For example, if k is 1, each training sample defines its own class boundary/sphere of influence.",10.0,"Explain the scenario of overfitting in k-NN classifier.-Overfitting in kNN occurs when the value of hyper-parameter (k) is small. For example, if k is 1, each training sample defines its own class boundary/sphere of influence.",35,"Explain the scenario of overfitting in k-NN classifier.-Overfitting in kNN occurs when the value of hyper-parameter (k) is small. For example, if k is 1, each training sample defines its own class boundary/sphere of influence. Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Explain the scenario of overfitting in k-NN classifier.,If k value is less then the training accuracy is more and testing accuracy will be less which means overfitting has occurred.,10.0,Explain the scenario of overfitting in k-NN classifier.-If k value is less then the training accuracy is more and testing accuracy will be less which means overfitting has occurred.,29,Explain the scenario of overfitting in k-NN classifier.-If k value is less then the training accuracy is more and testing accuracy will be less which means overfitting has occurred. Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Explain the scenario of overfitting in k-NN classifier.,"If the number of K values are small typically , it causes overfitting . ",10.0,"Explain the scenario of overfitting in k-NN classifier.-If the number of K values are small typically , it causes overfitting . ",22,"Explain the scenario of overfitting in k-NN classifier.-If the number of K values are small typically , it causes overfitting .  Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Explain the scenario of overfitting in k-NN classifier.,Supervised Learning technique.,0.0,Explain the scenario of overfitting in k-NN classifier.-Supervised Learning technique.,10,Explain the scenario of overfitting in k-NN classifier.-Supervised Learning technique. Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Explain the scenario of overfitting in k-NN classifier.,When k is small it is a overfitting classifier . The training value is greater than test value .,10.0,Explain the scenario of overfitting in k-NN classifier.-When k is small it is a overfitting classifier . The training value is greater than test value .,26,Explain the scenario of overfitting in k-NN classifier.-When k is small it is a overfitting classifier . The training value is greater than test value . Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Explain the scenario of overfitting in k-NN classifier.,If the number of k will be large near to 10 then it will give overfitting.,0.0,Explain the scenario of overfitting in k-NN classifier.-If the number of k will be large near to 10 then it will give overfitting.,23,Explain the scenario of overfitting in k-NN classifier.-If the number of k will be large near to 10 then it will give overfitting. Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Explain the scenario of overfitting in k-NN classifier.,overfitting means the scenario where the model works well during training but does not perform well during test data comes in.,0.0,Explain the scenario of overfitting in k-NN classifier.-overfitting means the scenario where the model works well during training but does not perform well during test data comes in.,28,Explain the scenario of overfitting in k-NN classifier.-overfitting means the scenario where the model works well during training but does not perform well during test data comes in. Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Explain the scenario of overfitting in k-NN classifier.,overfitting means that the training data is well fitted but prediction has poor performance,0.0,Explain the scenario of overfitting in k-NN classifier.-overfitting means that the training data is well fitted but prediction has poor performance,21,Explain the scenario of overfitting in k-NN classifier.-overfitting means that the training data is well fitted but prediction has poor performance Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Explain the scenario of overfitting in k-NN classifier.,in overfitting scenario value of k is small and accuracy fluctuates sharply with change of k value in KNN classifier. ,10.0,Explain the scenario of overfitting in k-NN classifier.-in overfitting scenario value of k is small and accuracy fluctuates sharply with change of k value in KNN classifier. ,28,Explain the scenario of overfitting in k-NN classifier.-in overfitting scenario value of k is small and accuracy fluctuates sharply with change of k value in KNN classifier.  Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Explain the scenario of overfitting in k-NN classifier.,Overfitting in KNN says that the model has a good accuracy on their training model while has a very low performance error in the testing model.,0.0,Explain the scenario of overfitting in k-NN classifier.-Overfitting in KNN says that the model has a good accuracy on their training model while has a very low performance error in the testing model.,33,Explain the scenario of overfitting in k-NN classifier.-Overfitting in KNN says that the model has a good accuracy on their training model while has a very low performance error in the testing model. Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Explain the scenario of overfitting in k-NN classifier.,when the K value is too low,10.0,Explain the scenario of overfitting in k-NN classifier.-when the K value is too low,14,Explain the scenario of overfitting in k-NN classifier.-when the K value is too low Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Explain the scenario of overfitting in k-NN classifier.,Overfitting imply that the model is well on the training data but has poor performance when new data is coming. the k value will increase that is greater k value ,0.0,Explain the scenario of overfitting in k-NN classifier.-Overfitting imply that the model is well on the training data but has poor performance when new data is coming. the k value will increase that is greater k value ,38,Explain the scenario of overfitting in k-NN classifier.-Overfitting imply that the model is well on the training data but has poor performance when new data is coming. the k value will increase that is greater k value  Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Explain the scenario of overfitting in k-NN classifier.,First the datasheet is separated as train and test set . Then we get errors for both train and test data when it is high training error  in comparision the test errors is quite low. this is overfitting.  training data accuracy increaese and test error decreases. ,0.0,Explain the scenario of overfitting in k-NN classifier.-First the datasheet is separated as train and test set . Then we get errors for both train and test data when it is high training error  in comparision the test errors is quite low. this is overfitting.  training data accuracy increaese and test error decreases. ,56,Explain the scenario of overfitting in k-NN classifier.-First the datasheet is separated as train and test set . Then we get errors for both train and test data when it is high training error  in comparision the test errors is quite low. this is overfitting.  training data accuracy increaese and test error decreases.  Null Null Null Null Null,61
Explain the scenario of overfitting in k-NN classifier.,"There is high training error and less test error, so the accuracy of training dataset increases.",0.0,"Explain the scenario of overfitting in k-NN classifier.-There is high training error and less test error, so the accuracy of training dataset increases.",23,"Explain the scenario of overfitting in k-NN classifier.-There is high training error and less test error, so the accuracy of training dataset increases. Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Explain the scenario of overfitting in k-NN classifier.,"unseen cannot be supported, not generalized",0.0,"Explain the scenario of overfitting in k-NN classifier.-unseen cannot be supported, not generalized",13,"Explain the scenario of overfitting in k-NN classifier.-unseen cannot be supported, not generalized Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Explain the scenario of overfitting in k-NN classifier.,A small value of k can lead to overfitting,10.0,Explain the scenario of overfitting in k-NN classifier.-A small value of k can lead to overfitting,16,Explain the scenario of overfitting in k-NN classifier.-A small value of k can lead to overfitting Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Explain the scenario of overfitting in k-NN classifier.,"Overlifting in knn means, it gives good performance or accuracy for the training data. But when new data is coming it will not work efficiently as it worked in training data.",0.0,"Explain the scenario of overfitting in k-NN classifier.-Overlifting in knn means, it gives good performance or accuracy for the training data. But when new data is coming it will not work efficiently as it worked in training data.",38,"Explain the scenario of overfitting in k-NN classifier.-Overlifting in knn means, it gives good performance or accuracy for the training data. But when new data is coming it will not work efficiently as it worked in training data. Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
